22  Gamma   1   0   2   -1  0   0   0   0   0   0   0   0
111	Pion(0)	1	0.13498	1	-1	0	0	0	0	0	0	0	0
211	Pion(+)	1	0.13957	1	-1	0	1	0	0	0	0	0	0
321	Kaon(+)	1	0.49368	1	-1	0	1	1	0	0	0	0	0
311	Kaon(0)	1	0.49767	1	-1	0	0	1	0	0	0	0	0
221	eta()	0	0.5473	1	-1	0	0	0	0	0	0	0	0
113	rho(0)	0	0.7711	3	-1	0	0	0	0	0	0	0.1492	0
213	rho(+)	0	0.7711	3	-1	0	1	0	0	0	0	0.1492	0
223	omega()	0	0.78257	3	-1	0	0	0	0	0	0	0.00844	0
323	K*892(+)	0	0.89166	3	-1	0	1	1	0	0	0	0.0508	0
313	K*892(0)	0	0.8961	3	-1	0	0	1	0	0	0	0.0507	0
2212	p()	1	0.93827	2	1	1	1	0	0	0	0	0	0
2112	n()	1	0.93957	2	1	1	0	0	0	0	0	0	0
331	etaprime(958)	0	0.95778	1	-1	0	0	0	0	0	0	0.0002	0
10221	f0(980)	0	0.98	1	-1	0	0	0	0	0	0	0.07	0
10111	a0(980)(0)	0	0.9827	1	-1	0	0	0	0	0	0	0.075	0
10211	a0(980)(+)	0	0.9827	1	-1	0	1	0	0	0	0	0.075	0
333	phi(1020)	0	1.01946	3	-1	0	0	0	0	0	0	0.00426	0
3122	Lambda()	1	1.11568	2	1	1	0	-1	0	0	0	0	0
10223	h1(1170)	0	1.17	3	-1	0	0	0	0	0	0	0.36	0
3222	Sigma(+)	1	1.18937	2	1	1	1	-1	0	0	0	0	0
3212	Sigma(0)	0	1.19264	2	1	1	0	-1	0	0	0	0	0
3112	Sigma(-)	1	1.19745	2	1	1	-1	-1	0	0	0	0	0
20113	a1(1260)(0)	0	1.23	3	-1	0	0	0	0	0	0	0.4	0
20213	a1(1260)(+)	0	1.23	3	-1	0	1	0	0	0	0	0.4	0
10113	b1(1235)(0)	0	1.231	3	-1	0	0	0	0	0	0	0.142	0
10213	b1(1235)(+)	0	1.231	3	-1	0	1	0	0	0	0	0.142	0
1114	Delta1232(-)	0	1.232	4	1	1	-1	0	0	0	0	0.121	0
2114	Delta1232(0)	0	1.232	4	1	1	0	0	0	0	0	0.121	0
2214	Delta1232(+)	0	1.232	4	1	1	1	0	0	0	0	0.121	0
2224	Delta1232(++)	0	1.232	4	1	1	2	0	0	0	0	0.121	0
10313	K1_1270(0)	0	1.273	3	-1	0	0	1	0	0	0	0.09	0
10323	K1_1270(+)	0	1.273	3	-1	0	1	1	0	0	0	0.09	0
225	f2(1270)	0	1.2754	5	-1	0	0	0	0	0	0	0.1851	0
20223	f1(1285)	0	1.282	3	-1	0	0	0	0	0	0	0.024	0
20221	eta(1295)	0	1.295	1	-1	0	0	0	0	0	0	0.053	0
20111	Pion_1300(0)	0	1.3	1	-1	0	0	0	0	0	0	0.4	0
20211	Pion_1300(+)	0	1.3	1	-1	0	1	0	0	0	0	0.4	0
3322	Xsi(0)	1	1.3149	2	1	1	0	-2	0	0	0	0	0
115	a2_1320(0)	0	1.3182	5	-1	0	0	0	0	0	0	0.11	0
215	a2_1320(+)	0	1.3182	5	-1	0	1	0	0	0	0	0.11	0
3312	Xsi(-)	1	1.32132	2	1	1	-1	-2	0	0	0	0	0
30221	f0_1370()	0	1.37	1	-1	0	0	0	0	0	0	0.4	0
3224	Sigma_1385(+)	0	1.3828	4	1	1	1	-1	0	0	0	0.0358	0
3214	Sigma_1385(0)	0	1.3837	4	1	1	0	-1	0	0	0	0.036	0
3114	Sigma_1385(-)	0	1.3872	4	1	1	-1	-1	0	0	0	0.0394	0
20313	K1_1400(0)	0	1.402	3	-1	0	0	1	0	0	0	0.174	0
20323	K1_1400(+)	0	1.402	3	-1	0	1	1	0	0	0	0.174	0
13122	Lambda_1405()	0	1.407	2	1	1	0	-1	0	0	0	0.05	0
30313	K*_1410(0)	0	1.412	3	-1	0	0	1	0	0	0	0.227	0
30323	K*_1410(+)	0	1.412	3	-1	0	1	1	0	0	0	0.227	0
40221	eta_1440()	0	1.415	1	-1	0	0	0	0	0	0	0.06	0
50223	omega_1420()	0	1.419	3	-1	0	0	0	0	0	0	0.174	0
325	K2*_1430(+)	0	1.4254	5	-1	0	1	1	0	0	0	0.0984	0
30223	f1_1420()	0	1.4268	3	-1	0	0	0	0	0	0	0.053	0
10311	K0*_1430(0)	0	1.429	1	-1	0	0	1	0	0	0	0.287	0
10321	K0*_1430(+)	0	1.429	1	-1	0	1	1	0	0	0	0.287	0
315	K2*_1430(0)	0	1.4324	5	-1	0	0	1	0	0	0	0.109	0
12112	n_1440()	0	1.44	2	1	1	0	0	0	0	0	0.35	0
12212	p_1440()	0	1.44	2	1	1	1	0	0	0	0	0.35	0
40113	rho_1450(0)	0	1.465	3	-1	0	0	0	0	0	0	0.31	0
40213	rho_1450(+)	0	1.465	3	-1	0	1	0	0	0	0	0.31	0
50221	f0_1500()	0	1.503	1	-1	0	0	0	0	0	0	0.12	0
3124	Lamb_1520()	0	1.5195	4	1	1	0	-1	0	0	0	0.0156	0
1214	n_1520()	0	1.52	4	1	1	0	0	0	0	0	0.12	0
2124	p_1520()	0	1.52	4	1	1	1	0	0	0	0	0.12	0
335	f2_pri_1525()	0	1.525	5	-1	0	0	0	0	0	0	0.076	0
3324	Xsi_1530(0)	0	1.5318	4	1	1	0	-2	0	0	0	0.0091	0
3314	Xsi_1530(-)	0	1.535	4	1	1	-1	-2	0	0	0	0.0099	0
22112	n_1535()	0	1.535	2	1	1	0	0	0	0	0	0.15	0
22212	p_1535()	0	1.535	2	1	1	1	0	0	0	0	0.15	0
23122	Lamb_1600()	0	1.6	2	1	1	0	-1	0	0	0	0.15	0
31114	Del_1600(-)	0	1.6	4	1	1	-1	0	0	0	0	0.35	0
32114	Del_1600(0)	0	1.6	4	1	1	0	0	0	0	0	0.35	0
32214	Del_1600(+)	0	1.6	4	1	1	1	0	0	0	0	0.35	0
32224	Del_1600(++)	0	1.6	4	1	1	2	0	0	0	0	0.35	0
1112	Del_1620(-)	0	1.62	2	1	1	-1	0	0	0	0	0.15	0
1212	Del_1620(0)	0	1.62	2	1	1	0	0	0	0	0	0.15	0
2122	Del_1620(+)	0	1.62	2	1	1	1	0	0	0	0	0.15	0
2222	Del_1620(++)	0	1.62	2	1	1	2	0	0	0	0	0.15	0
60223	omega_1650()	0	1.649	3	-1	0	0	0	0	0	0	0.22	0
32112	n_1650()	0	1.65	2	1	1	0	0	0	0	0	0.15	0
32212	p_1650()	0	1.65	2	1	1	1	0	0	0	0	0.15	0
3334	Omega()	1	1.67245	4	1	1	-1	-3	0	0	0	0	0
